region_code,category,0,1,2,3,4,5,6,7,8,9,10
BAQ,Abarrotes,100,74.6,64.1,58.6,54.9,52.9,52.6,48,47.9,46.8,45.6
BAQ,Aseo e Higiene,100,64.1,52.3,46.4,42.5,41.3,39.1,36.1,35.1,32.6,30.3
BAQ,Bebidas,100,29.5,27.4,24.7,22.5,21.8,21,20.1,18.5,18.8,15.6
BAQ,"Carne, Pollo & Pescados",100,57.3,50.4,47.3,42.5,42.1,41.4,38.3,37.1,37.3,36.7
BAQ,Congelados,100,34.1,27.8,23.6,21.3,20.1,19.8,17.2,16.4,16.6,16.7
BAQ,Desechables,100,54.8,47.5,44.8,40.3,38,36.7,35,35,32.4,30.4
BAQ,Frutas & Verduras,100,72.5,60.4,55.2,50.9,49.3,46.9,43,43,42.4,39.2
BAQ,Lácteos & Huevos,100,44.3,39.9,35.3,31.9,30.4,29.6,27,27.4,22.8,21.7
BHZ,Bebidas,100,41.9,36.4,32.1,28,26.5,25,25,24.9,23.7,23.3
BHZ,"Carnes, Aves e Peixes",100,42.4,37.5,33,29.2,26.7,25.4,23.6,23.3,21.9,21.1
BHZ,Congelados,100,33.4,30.9,26.6,24.7,22.7,22.4,24,24.7,24.9,22.5
BHZ,Descartáveis,100,21.4,20.5,17.7,16.2,15.8,15.1,16.4,17.1,16.2,15.5
BHZ,Frutas e Verduras,100,54,42.6,36.4,33.6,31.7,30.4,30.7,29.5,31.2,30.9
BHZ,Laticínios e Ovos,100,46,40.3,35.3,32.7,31.5,31.3,30.3,29.7,31,29.7
BHZ,Limpeza e Higiene,100,31.4,29.2,24.2,21.8,20.3,21.2,20.7,21.2,21,19.9
BHZ,Mercearia,100,55.9,45.8,39.9,36.3,35.5,33.5,33.3,32,32.5,31.6
BOG,Abarrotes,100,69.6,64.1,58.9,55.2,51.6,48.3,45.6,41.8,40.4,40.1
BOG,Aseo e Higiene,100,63.3,54.8,50,46.1,43.5,40.8,37.6,35.2,33.7,33.4
BOG,Bebidas,100,35.4,32.7,29.4,26.8,25.6,24.4,22.5,20.4,20.9,20.4
BOG,"Carne, Pollo & Pescados",100,45.2,40.3,35.2,30.9,29.6,26.7,24,22.8,22.7,22.6
BOG,Congelados,100,30.4,24.9,21.1,18.3,16.4,14.7,13.9,12.6,12.7,9.3
BOG,Desechables,100,56.9,53.2,49.2,45.1,41.3,39,36.7,33.7,32.3,31.7
BOG,Despensa,100,39.7,35.6,32.8,29,26.5,25.1,22.7,23.7,22.9,22
BOG,Frutas & Verduras,100,67.4,59.1,54.6,48.2,44.4,41.1,36.9,34.7,32.7,32.3
BOG,Lácteos & Huevos,100,44.3,39,34,31.3,28.7,27,24.7,24.3,22.5,21.8
CMX,Abarrotes,100,65.3,54.6,48.4,44.3,40.5,36.3,32.7,28.1,25.6,23.3
CMX,Aseo e Higiene,100,45.1,38.3,33.7,30.2,27.1,24.7,22.1,19.3,17.9,17.5
CMX,Bebidas,100,31.9,27.5,24,22,20.2,20.2,16.7,16,12.8,12.2
CMX,"Carne, Pollo & Pescados",100,37.7,30.6,25,22.6,19.7,17.9,15.5,14.2,13.1,12.4
CMX,Congelados,100,33.1,26.7,23.7,21.7,19.7,18.9,17.8,15,13.6,13.7
CMX,Desechables,100,41.3,35.3,30.4,27.7,25.4,22.9,21.8,19.6,19,17.7
CMX,Frutas & Verduras,100,62.1,50.6,43.5,38.9,34.8,31.1,27.9,24.2,22.5,20.4
CMX,Lácteos & Huevos,100,52.2,43.6,38.2,35.1,32.4,29,26.3,22.8,22,19.5
CWB,Bebidas,100,45.9,37.9,32,28.2,27.9,26.6,25.8,25.5,27.4,19.4
CWB,"Carnes, Aves e Peixes",100,34.1,31.3,26,25.4,24.3,23,23.6,23.1,25,25
CWB,Congelados,100,32.9,32.6,30.4,27.4,25.4,24.3,22.5,24.5,17.9,17.9
CWB,Descartáveis,100,23.3,17.3,14.3,13.4,12.9,11.9,12.3,11.9,10.8,10.8
CWB,Frutas e Verduras,100,57.2,48.1,40.9,37.1,37,35.5,35.1,36,34.1,30.6
CWB,Laticínios e Ovos,100,45.4,36.7,32.6,29.4,28.7,26.7,26.4,25,26.5,17.4
CWB,Limpeza e Higiene,100,35.6,31.4,26.1,24.2,24.5,23,23.1,23.2,23.2,17.9
CWB,Mercearia,100,54.5,44,38,34,35.5,33.6,34.3,33.1,30.8,25.2
MDE,Abarrotes,100,73.1,67.3,64.5,62.2,59.3,56.7,55.5,52,48.5,48.5
MDE,Aseo e Higiene,100,58.1,50.5,47.9,47.4,43.9,42.2,40.1,37.3,33.9,33.9
MDE,Bebidas,100,41.5,40.6,37.8,36.1,33.9,27.5,28.8,29,27.3,27.3
MDE,Desechables,100,44.3,40.5,39.3,38,33.8,34.1,31.1,30.7,27.1,27.1
MDE,Frutas & Verduras,100,63.9,57.2,53.9,52.9,49,47.3,42.2,38.2,32,22.2
MDE,Lácteos & Huevos,100,51,42.9,39.9,37.1,35.1,33,31.4,27.8,24.9,24.9
SPO,Bebidas,100,48.3,41.6,36,32.3,30,29,27.1,27.2,27.2,27.2
SPO,"Carnes, Aves e Peixes",100,44,38.1,32.4,28.8,26.5,24.1,22.5,21.6,20.3,19.4
SPO,Congelados,100,31,28.8,23.9,21.5,19.8,18.7,18,17.3,17.1,15
SPO,Descartáveis,100,21.7,19.2,15.7,13.9,12.9,12.8,13.6,13.5,12,11.6
SPO,Frutas e Verduras,100,58,47,40.7,36.1,32.8,31.2,28.6,27,25.8,23
SPO,Laticínios e Ovos,100,50.2,42.4,37.2,32.9,31.3,29.5,27.9,26.2,24.5,22.7
SPO,Limpeza e Higiene,100,31.8,28,23.4,21,20.8,19.9,19,18,17.4,16.5
SPO,Mercearia,100,60.2,48.4,42.2,36.8,34.3,32.3,29.7,27.4,26.3,23.8
VCP,Bebidas,100,41.9,36.4,32.1,28,26.5,25,25,24.9,23.7,23.3
VCP,"Carnes, Aves e Peixes",100,42.4,37.5,33,29.2,26.7,25.4,23.6,23.3,21.9,21.1
VCP,Congelados,100,33.4,30.9,26.6,24.7,22.7,22.4,24,24.7,24.9,22.5
VCP,Descartáveis,100,21.4,20.5,17.7,16.2,15.8,15.1,16.4,17.1,16.2,15.5
VCP,Frutas e Verduras,100,54,42.6,36.4,33.6,31.7,30.4,30.7,29.5,31.2,30.9
VCP,Laticínios e Ovos,100,46,40.3,35.3,32.7,31.5,31.3,30.3,29.7,31,29.7
VCP,Limpeza e Higiene,100,31.4,29.2,24.2,21.8,20.3,21.2,20.7,21.2,21,19.9
VCP,Mercearia,100,55.9,45.8,39.9,36.3,35.5,33.5,33.3,32,32.5,31.6