20220420_CMX_NB_azucaryendulzantes_W16,20220420_CMX_NB_tuberculos_W16,20220420_CMX_NB_granos_W16,20220420_CMX_NB_frutas_W16,20220420_CMX_NB_verduras_W16,20220420_CMX_NB_huevos_W16,20220420_CMX_NB_leches_W16,20220420_CMX_NB_vasoscontenedoresyplatos_W16,20220420_CMX_NB_detergentejabonylavatrastes_W16
142262276.0,138625031.0,138625031.0,141903879.0,138625031.0,142262276.0,142262276.0,130017287.0,142262276.0
130017287.0,141903879.0,141903879.0,138625031.0,134148123.0,138625031.0,138625031.0,141903879.0,138625031.0
138625031.0,130017287.0,130017287.0,140417037.0,137336868.0,141903879.0,141903879.0,140417037.0,130017287.0
140417037.0,140417037.0,140417037.0,139821073.0,141705253.0,130017287.0,130017287.0,139845647.0,140417037.0
139845647.0,139821073.0,139845647.0,142360602.0,142276658.0,140417037.0,139845647.0,134148123.0,139845647.0
139821073.0,142360602.0,142360602.0,134148123.0,140339252.0,139845647.0,139821073.0,132272158.0,139821073.0
142360602.0,134148123.0,134148123.0,137336868.0,133228599.0,139821073.0,134148123.0,137336868.0,142360602.0
132272158.0,132272158.0,132272158.0,141705253.0,142278725.0,142360602.0,142469165.0,141705253.0,134148123.0
142469165.0,137336868.0,137336868.0,142272562.0,40771654.0,134148123.0,142276658.0,142469165.0,132272158.0
142272562.0,141705253.0,141705253.0,140339252.0,125626440.0,132272158.0,142272562.0,142276658.0,137336868.0
70928435.0,142276658.0,142469165.0,139235382.0,141656141.0,137336868.0,140339252.0,70928435.0,141705253.0
140339252.0,142272562.0,142276658.0,133228599.0,-260014.0,141705253.0,70928435.0,140339252.0,142272562.0
139761721.0,140339252.0,142272562.0,139761721.0,140300381.0,142469165.0,133228599.0,133228599.0,70928435.0
22306877.0,70928435.0,140339252.0,22306877.0,139798626.0,142276658.0,22306877.0,22306877.0,133228599.0
142471235.0,139235382.0,70928435.0,142471235.0,143249506.0,142272562.0,142278725.0,142278725.0,139761721.0
40771654.0,133228599.0,139235382.0,142278725.0,133304419.0,140339252.0,143718471.0,40771654.0,22306877.0
143718471.0,139761721.0,133228599.0,40771654.0,143040617.0,70928435.0,-260014.0,143718471.0,142471235.0
-260014.0,22306877.0,139761721.0,125626440.0,146167915.0,139235382.0,141723732.0,125626440.0,142278725.0
140300381.0,142471235.0,22306877.0,141656141.0,141817972.0,133228599.0,140300381.0,141656141.0,40771654.0
141895775.0,142278725.0,142471235.0,-260014.0,129951868.0,139761721.0,141895775.0,-260014.0,143718471.0
139798626.0,40771654.0,40771654.0,141723732.0,140421247.0,22306877.0,139798626.0,141723732.0,141656141.0
143249506.0,125626440.0,143718471.0,141895775.0,143020163.0,142471235.0,143097955.0,140300381.0,-260014.0
133304419.0,141656141.0,125626440.0,139798626.0,142977157.0,142278725.0,143249506.0,141895775.0,139798626.0
140275814.0,-260014.0,141656141.0,143097955.0,141713562.0,40771654.0,140275814.0,139798626.0,143249506.0
136747111.0,141723732.0,-260014.0,133304419.0,138014877.0,143718471.0,142391398.0,143249506.0,133304419.0
143040617.0,140300381.0,141723732.0,140275814.0,143149220.0,141656141.0,143040617.0,133304419.0,142391398.0
141781105.0,141895775.0,140300381.0,142391398.0,139776175.0,141723732.0,146167915.0,142391398.0,136747111.0
142559352.0,139798626.0,141895775.0,143040617.0,143593653.0,140300381.0,141781105.0,136747111.0,146167915.0
137367673.0,143249506.0,139798626.0,141817972.0,142254262.0,141895775.0,141817972.0,143040617.0,137367673.0
129951868.0,133304419.0,143097955.0,129951868.0,140466374.0,139798626.0,137367673.0,137367673.0,129951868.0
140421247.0,142391398.0,143249506.0,140421247.0,143319240.0,143097955.0,129951868.0,129951868.0,143020163.0
142977157.0,143040617.0,133304419.0,143020163.0,145285335.0,143249506.0,140421247.0,140451970.0,142977157.0
28731526.0,146167915.0,142391398.0,142977157.0,105533660.0,133304419.0,140451970.0,143020163.0,28731526.0
142393481.0,141781105.0,136747111.0,28731526.0,138645730.0,140275814.0,143020163.0,142977157.0,143642765.0
143642765.0,141817972.0,143040617.0,142393481.0,145987811.0,142391398.0,28731526.0,28731526.0,141785231.0
141785231.0,142559352.0,146167915.0,143642765.0,140402924.0,136747111.0,142393481.0,142393481.0,141713562.0
141246613.0,129951868.0,141781105.0,141785231.0,140777708.0,143040617.0,143642765.0,143642765.0,139774107.0
141713562.0,140421247.0,141817972.0,141246613.0,135962862.0,146167915.0,141785231.0,141785231.0,138014877.0
139774107.0,140451970.0,142559352.0,141713562.0,143603957.0,141781105.0,141246613.0,141246613.0,143149220.0
138014877.0,143020163.0,137367673.0,138014877.0,92029175.0,141817972.0,139774107.0,141713562.0,139776175.0
143149220.0,142977157.0,129951868.0,143149220.0,139380986.0,142559352.0,143149220.0,139774107.0,140353712.0
139776175.0,142393481.0,140421247.0,145397937.0,145248512.0,137367673.0,139776175.0,138014877.0,146094259.0
140353712.0,143642765.0,143020163.0,146094259.0,141875460.0,129951868.0,140353712.0,143149220.0,143593653.0
145397937.0,141785231.0,142977157.0,143593653.0,133306632.0,140421247.0,145397937.0,140353712.0,142254262.0
142254262.0,141246613.0,28731526.0,140466374.0,142434575.0,140451970.0,143593653.0,146094259.0,145342654.0
140466374.0,141713562.0,142393481.0,145473745.0,138621211.0,143020163.0,145342654.0,143593653.0,140466374.0
145473745.0,139774107.0,143642765.0,145285335.0,145228061.0,142977157.0,140466374.0,143319240.0,143319240.0
145285335.0,138014877.0,141785231.0,143583448.0,141680932.0,28731526.0,143319240.0,145473745.0,145285335.0
105533660.0,143149220.0,141246613.0,140957911.0,140964152.0,142393481.0,145473745.0,146006227.0,143583448.0
137550049.0,139776175.0,141713562.0,105533660.0,146198862.0,143642765.0,146006227.0,140957911.0,140957911.0
138645730.0,140353712.0,139774107.0,142993638.0,139376990.0,141785231.0,145285335.0,105533660.0,105533660.0
145987811.0,145397937.0,138014877.0,140323047.0,142465382.0,141246613.0,143583448.0,137550049.0,137550049.0
140323047.0,146094259.0,143149220.0,140777708.0,133691763.0,141713562.0,140957911.0,145987811.0,138645730.0
140777708.0,143593653.0,139776175.0,135962862.0,146133368.0,139774107.0,105533660.0,142993638.0,145987811.0
135962862.0,142254262.0,140353712.0,143603957.0,139309472.0,138014877.0,137550049.0,140323047.0,140402924.0
143603957.0,145342654.0,145397937.0,92029175.0,139921830.0,143149220.0,138645730.0,140402924.0,140777708.0
142356729.0,140466374.0,146094259.0,142356729.0,140450221.0,139776175.0,142993638.0,140777708.0,135962862.0
139380986.0,143319240.0,143593653.0,139380986.0,143153582.0,140353712.0,140323047.0,135962862.0,143603957.0
123648257.0,146006227.0,142254262.0,143741183.0,115491255.0,145397937.0,140777708.0,143603957.0,92029175.0
145334533.0,143583448.0,145342654.0,145248512.0,143663543.0,146094259.0,135962862.0,142356729.0,143741183.0
133306632.0,140957911.0,140466374.0,141875460.0,141728189.0,143593653.0,143603957.0,139380986.0,145248512.0
142434575.0,105533660.0,143319240.0,145334533.0,141717954.0,142254262.0,92029175.0,123648257.0,123648257.0
134025493.0,137550049.0,145473745.0,133306632.0,132764103.0,145342654.0,142356729.0,141875460.0,141875460.0
140405014.0,138645730.0,146006227.0,142434575.0,141818311.0,140466374.0,143741183.0,133306632.0,145334533.0
138621211.0,145987811.0,145285335.0,138621211.0,126046663.0,143319240.0,123648257.0,142434575.0,133306632.0
26958114.0,142993638.0,143583448.0,145228061.0,139123148.0,145473745.0,145334533.0,134025493.0,142434575.0
139804965.0,140323047.0,140957911.0,141680932.0,58028495.0,146006227.0,133306632.0,26958114.0,134025493.0
146241831.0,140402924.0,105533660.0,140964152.0,141670869.0,145285335.0,142434575.0,141680932.0,140405014.0
140529960.0,140777708.0,137550049.0,146198862.0,142252506.0,143583448.0,134025493.0,140529960.0,138621211.0
121811241.0,135962862.0,145987811.0,143038802.0,142375387.0,140957911.0,140405014.0,121811241.0,145228061.0
44679474.0,143603957.0,140323047.0,141709656.0,41976286.0,105533660.0,138621211.0,134258985.0,26958114.0
140964152.0,92029175.0,140402924.0,142233944.0,136698344.0,137550049.0,26958114.0,44679474.0,141680932.0
143053114.0,142356729.0,140777708.0,142334307.0,142463466.0,138645730.0,141680932.0,140964152.0,121811241.0
142360903.0,139380986.0,135962862.0,142465382.0,84939250.0,145987811.0,139804965.0,143053114.0,134258985.0
146198862.0,143741183.0,143603957.0,141777261.0,141693428.0,142993638.0,146241831.0,143038802.0,44679474.0
143038802.0,145248512.0,92029175.0,133691763.0,143088122.0,140323047.0,121811241.0,141709656.0,140964152.0
61319516.0,141875460.0,142356729.0,146133368.0,140409348.0,140777708.0,44679474.0,142233944.0,143053114.0
142334307.0,145334533.0,139380986.0,140482969.0,141771270.0,143603957.0,140964152.0,61319516.0,142360903.0
139270506.0,133306632.0,145248512.0,142246301.0,140423688.0,92029175.0,146198862.0,139376990.0,146198862.0
141777261.0,142434575.0,123648257.0,139309472.0,143032840.0,142356729.0,143038802.0,142334307.0,143038802.0
133691763.0,134025493.0,141875460.0,139921830.0,141775372.0,139380986.0,141709656.0,142465382.0,142233944.0
142508408.0,140405014.0,145334533.0,139358630.0,146033165.0,143741183.0,142233944.0,139270506.0,61319516.0
146133368.0,138621211.0,133306632.0,132776364.0,142447122.0,145248512.0,61319516.0,133691763.0,142334307.0
141640058.0,145228061.0,142434575.0,140450221.0,140313112.0,123648257.0,139376990.0,142508408.0,139270506.0
132696445.0,141680932.0,134025493.0,143153582.0,141642269.0,141875460.0,142334307.0,146133368.0,133691763.0
132114841.0,139804965.0,140405014.0,140372403.0,140311103.0,145334533.0,142465382.0,141640058.0,142508408.0
142246301.0,146241831.0,138621211.0,139215286.0,143239745.0,133306632.0,139270506.0,132696445.0,141640058.0
139309472.0,121811241.0,145228061.0,115491255.0,146027081.0,142434575.0,141777261.0,132114841.0,132696445.0
139921830.0,134258985.0,141680932.0,141728189.0,140333646.0,134025493.0,133691763.0,140482969.0,132114841.0
139358630.0,140964152.0,139804965.0,141717954.0,140304983.0,140405014.0,142508408.0,125999526.0,140482969.0
132776364.0,143053114.0,146241831.0,132764103.0,44483159.0,138621211.0,146133368.0,132776364.0,142246301.0
143106477.0,142360903.0,121811241.0,141818311.0,143065688.0,145228061.0,141640058.0,140450221.0,139309472.0
133964208.0,146198862.0,44679474.0,126046663.0,127851100.0,26958114.0,132696445.0,143153582.0,139921830.0
140372403.0,141709656.0,140964152.0,139123148.0,146018909.0,141680932.0,132114841.0,143589806.0,139358630.0
139215286.0,142233944.0,143053114.0,58028495.0,146139766.0,139804965.0,140482969.0,139215286.0,125999526.0
141728189.0,139376990.0,142360903.0,141670869.0,-255369.0,146241831.0,142246301.0,115491255.0,132776364.0
132764103.0,142334307.0,146198862.0,142252506.0,38990459.0,140529960.0,139921830.0,143663543.0,140450221.0
141818311.0,142465382.0,143038802.0,142375387.0,140305024.0,121811241.0,139358630.0,141728189.0,143106477.0
139123148.0,141777261.0,141709656.0,41976286.0,139303559.0,134258985.0,125999526.0,141717954.0,143589806.0
139811277.0,133691763.0,142233944.0,145934815.0,141642382.0,44679474.0,132776364.0,132764103.0,133964208.0
58028495.0,142508408.0,61319516.0,140306914.0,146014867.0,140964152.0,140450221.0,141818311.0,140372403.0
141670869.0,146133368.0,139376990.0,136698344.0,139473561.0,143053114.0,143106477.0,126046663.0,139215286.0
142252506.0,141640058.0,142334307.0,142416360.0,143110810.0,142360903.0,143589806.0,139123148.0,115491255.0
140306914.0,132696445.0,142465382.0,142463466.0,128473764.0,146198862.0,133964208.0,139811277.0,143663543.0
136698344.0,140482969.0,133691763.0,84939250.0,142305957.0,143038802.0,140372403.0,58028495.0,141728189.0
142416360.0,142246301.0,142508408.0,141693428.0,128973482.0,141709656.0,115491255.0,141670869.0,141717954.0
142463466.0,139921830.0,146133368.0,143088122.0,122454702.0,142233944.0,141728189.0,142252506.0,132764103.0
139139563.0,139358630.0,141640058.0,145324544.0,128717493.0,61319516.0,141717954.0,142375387.0,141818311.0
36409841.0,125999526.0,132696445.0,140409348.0,141884088.0,139376990.0,141818311.0,41976286.0,126046663.0
84939250.0,132776364.0,132114841.0,141771270.0,145490619.0,142334307.0,139123148.0,145934815.0,139123148.0
139237877.0,140450221.0,140482969.0,140423688.0,143123137.0,142465382.0,139811277.0,140306914.0,139811277.0
140321270.0,143106477.0,142246301.0,143032840.0,141683396.0,139270506.0,58028495.0,136698344.0,58028495.0
143088122.0,143153582.0,139309472.0,141775372.0,143155908.0,141777261.0,142252506.0,142416360.0,142252506.0
141904379.0,143589806.0,139921830.0,146033165.0,146131653.0,133691763.0,142375387.0,36409841.0,142375387.0
145324544.0,140372403.0,139358630.0,142447122.0,146244300.0,142508408.0,41976286.0,84939250.0,136698344.0
140409348.0,115491255.0,125999526.0,140313112.0,143059664.0,146133368.0,145934815.0,141693428.0,142416360.0
141771270.0,143663543.0,132776364.0,129610268.0,140333778.0,141640058.0,140306914.0,140321270.0,36409841.0
140423688.0,141728189.0,140450221.0,141642269.0,142254818.0,132696445.0,142416360.0,141904379.0,84939250.0
143032840.0,141717954.0,143106477.0,145306151.0,143190756.0,132114841.0,142463466.0,141775372.0,141693428.0
146033165.0,132764103.0,143153582.0,141720110.0,143190761.0,142246301.0,139139563.0,125598223.0,143088122.0
121360910.0,141818311.0,133964208.0,140311103.0,141699818.0,139309472.0,36409841.0,142447122.0,141904379.0
125598223.0,126046663.0,140372403.0,146027081.0,143086314.0,139921830.0,84939250.0,140313112.0,145324544.0
142447122.0,139123148.0,139215286.0,140333646.0,140387054.0,139358630.0,141693428.0,129610268.0,140409348.0
143665682.0,139811277.0,115491255.0,145371726.0,136702703.0,125999526.0,140321270.0,141642269.0,141771270.0
141785620.0,58028495.0,143663543.0,143532627.0,142494467.0,132776364.0,143088122.0,143053340.0,140423688.0
140313112.0,141670869.0,141728189.0,142496342.0,140448516.0,143106477.0,145324544.0,141748778.0,143032840.0
129610268.0,142375387.0,141717954.0,44483159.0,15131398.0,143153582.0,140409348.0,133151281.0,141775372.0
141642269.0,41976286.0,132764103.0,143065688.0,140290828.0,143589806.0,141771270.0,140311103.0,146033165.0
141748778.0,145934815.0,141818311.0,140364379.0,143110926.0,133964208.0,143032840.0,143239745.0,121360910.0
141720110.0,142416360.0,126046663.0,127851100.0,140051221.0,140372403.0,141775372.0,136180296.0,143665682.0
133151281.0,142463466.0,139123148.0,146018909.0,141796120.0,139215286.0,121360910.0,146027081.0,141642269.0
142488134.0,84939250.0,139811277.0,135191141.0,47887138.0,115491255.0,143665682.0,142551626.0,143053340.0
146027081.0,141693428.0,58028495.0,142488167.0,142334755.0,143663543.0,141785620.0,140333646.0,145306151.0
140333646.0,139237877.0,141670869.0,140417647.0,49572647.0,141728189.0,140313112.0,145371726.0,141748778.0
145371726.0,143088122.0,142252506.0,139313777.0,143016745.0,141717954.0,129610268.0,143532627.0,141720110.0
143532627.0,141904379.0,142375387.0,139291252.0,139195183.0,132764103.0,141642269.0,142496342.0,133151281.0
142496342.0,145324544.0,145934815.0,143192694.0,140981043.0,141818311.0,145306151.0,140304983.0,140311103.0
140364379.0,140409348.0,140306914.0,-255369.0,131226429.0,126046663.0,141748778.0,44483159.0,143239745.0
146018909.0,141771270.0,136698344.0,38990459.0,-269501.0,139123148.0,141720110.0,143065688.0,142488134.0
135191141.0,140423688.0,142416360.0,142973564.0,143602500.0,139811277.0,133151281.0,127851100.0,136180296.0
128066158.0,143032840.0,142463466.0,140305024.0,142420808.0,58028495.0,140311103.0,135191141.0,146027081.0
139313777.0,141775372.0,139139563.0,139833986.0,79704907.0,141670869.0,143239745.0,140417647.0,142551626.0
143192694.0,146033165.0,36409841.0,139303559.0,139381586.0,142252506.0,142488134.0,136641138.0,140333646.0
-255369.0,121360910.0,84939250.0,133632651.0,-263330.0,142375387.0,136180296.0,143192694.0,142496342.0
142973564.0,125598223.0,141693428.0,141642382.0,146275172.0,41976286.0,142551626.0,-255369.0,44483159.0
140354176.0,142447122.0,139237877.0,146014867.0,145187687.0,145934815.0,140333646.0,146139766.0,143065688.0
139833986.0,143665682.0,140321270.0,139473561.0,143227767.0,140306914.0,145371726.0,142973564.0,140364379.0
138627724.0,141785620.0,143088122.0,135414428.0,143051652.0,136698344.0,143532627.0,140354176.0,127851100.0
140423827.0,140313112.0,141904379.0,136225441.0,143055752.0,142416360.0,142496342.0,140305024.0,135191141.0
143151765.0,129610268.0,145324544.0,128473764.0,140379020.0,142463466.0,140304983.0,139833986.0,128066158.0
143075991.0,141642269.0,140409348.0,142305957.0,129172365.0,139139563.0,143065688.0,133632651.0,139313777.0
139473561.0,143053340.0,141771270.0,128973482.0,145320848.0,36409841.0,140364379.0,138627724.0,136641138.0
136225441.0,145306151.0,140423688.0,141859500.0,63308691.0,84939250.0,127851100.0,141642382.0,139291252.0
141785762.0,133151281.0,143032840.0,140309165.0,132924310.0,141693428.0,146018909.0,143151765.0,143192694.0
128473764.0,140311103.0,141775372.0,122454702.0,125629335.0,139237877.0,135191141.0,143075991.0,-255369.0
139750058.0,143239745.0,146033165.0,145136306.0,16692121.0,140321270.0,142488167.0,139473561.0,38990459.0
141859500.0,146027081.0,121360910.0,145410739.0,139914139.0,143088122.0,140417647.0,141785762.0,142973564.0
140309165.0,140333646.0,125598223.0,128717493.0,143625132.0,141904379.0,139313777.0,142281379.0,140354176.0
122454702.0,145371726.0,142447122.0,141884088.0,141644731.0,145324544.0,136641138.0,128473764.0,140305024.0
145136306.0,143532627.0,143665682.0,145490619.0,140381116.0,140409348.0,143192694.0,142305957.0,139833986.0
128717493.0,142496342.0,141785620.0,143123137.0,141884347.0,141771270.0,-255369.0,139750058.0,133632651.0
141884088.0,140304983.0,129610268.0,143631042.0,141792190.0,140423688.0,38990459.0,122454702.0,138627724.0
145490619.0,44483159.0,141642269.0,141683396.0,141751232.0,143032840.0,142973564.0,145410739.0,141642382.0
143123137.0,143065688.0,143053340.0,143155908.0,140037058.0,141775372.0,140354176.0,142488246.0,146014867.0
145410753.0,140364379.0,145306151.0,138799823.0,141790149.0,146033165.0,140305024.0,141884088.0,143151765.0
141683396.0,127851100.0,141748778.0,141759183.0,142425033.0,121360910.0,139833986.0,145490619.0,143075991.0
143155908.0,146018909.0,133151281.0,143059664.0,140321746.0,125598223.0,139303559.0,143123137.0,139473561.0
146131653.0,135191141.0,140311103.0,140333778.0,130431954.0,142447122.0,133632651.0,145410753.0,143110810.0
141179593.0,142488167.0,143239745.0,139211477.0,141665241.0,143665682.0,138627724.0,141683396.0,135414428.0
146244300.0,128066158.0,142488134.0,143606486.0,144665568.0,141785620.0,141642382.0,146131653.0,136225441.0
141759183.0,140417647.0,136180296.0,138515160.0,53580773.0,140313112.0,146014867.0,141179593.0,141785762.0
143092433.0,139313777.0,146027081.0,142254818.0,142216178.0,129610268.0,143151765.0,146244300.0,142281379.0
140333778.0,136641138.0,142551626.0,143190756.0,141671413.0,141642269.0,143075991.0,141759183.0,128473764.0
143606486.0,139291252.0,140333646.0,143190761.0,136270837.0,143053340.0,139473561.0,143059664.0,142305957.0
138515160.0,143192694.0,145371726.0,141699818.0,48266231.0,145306151.0,141785762.0,143092433.0,139750058.0
142254818.0,-255369.0,143532627.0,140387054.0,15315958.0,141748778.0,142281379.0,140333778.0,128973482.0
143717093.0,146139766.0,142496342.0,146164469.0,144456705.0,141720110.0,128473764.0,143606486.0,141859500.0
142342887.0,38990459.0,140304983.0,142494467.0,145148932.0,133151281.0,139750058.0,138515160.0,122454702.0
143190761.0,142973564.0,44483159.0,140448516.0,145972247.0,140311103.0,141859500.0,142254818.0,145136306.0
143086314.0,140305024.0,143065688.0,142496517.0,141618202.0,143239745.0,140309165.0,143190756.0,128717493.0
136702703.0,139833986.0,140364379.0,15131398.0,142367771.0,142488134.0,122454702.0,143717093.0,142488246.0
146164469.0,139303559.0,127851100.0,140290828.0,145978409.0,136180296.0,145136306.0,142342887.0,145490619.0
141722369.0,133632651.0,146018909.0,117637906.0,143055917.0,146027081.0,145410739.0,143190761.0,-261442.0
142494467.0,138627724.0,135191141.0,141818643.0,143150129.0,142551626.0,141884088.0,136702703.0,143631042.0
140448516.0,141642382.0,142488167.0,140051221.0,143660087.0,140333646.0,145490619.0,141722369.0,141683396.0
142496517.0,140423827.0,128066158.0,141796120.0,141884488.0,145371726.0,-261442.0,142494467.0,143155908.0
15131398.0,146014867.0,139313777.0,141380382.0,141825103.0,143532627.0,143123137.0,140448516.0,146131653.0
143110926.0,143151765.0,136641138.0,47887138.0,139177041.0,142496342.0,143631042.0,142496517.0,141179593.0
142424847.0,143075991.0,139291252.0,142334755.0,143676497.0,140304983.0,141683396.0,15131398.0,138799823.0
141818643.0,139473561.0,143192694.0,141673255.0,143227994.0,44483159.0,143155908.0,143110926.0,141759183.0
145890067.0,143110810.0,-255369.0,49572647.0,140444763.0,143065688.0,141179593.0,142424847.0,143092433.0
140051221.0,135414428.0,146139766.0,143016745.0,140465244.0,140364379.0,146244300.0,141818643.0,140333778.0
141796120.0,136225441.0,38990459.0,142961451.0,55839850.0,127851100.0,138799823.0,145890067.0,143059664.0
