20220325_CWB_NB_frango_W12,20220325_CWB_NB_suinos_W12
132067339,132067339
117831692,117831692
127156238,127156238
131569679,131569679
110524435,110524435
117383187,117383187
121325588,121325588
117923862,117923862
117375001,117375001
117407770,117407770
123680793,123680793
123088926,123088926
110540832,110540832
126904355,126904355
111745066,111745066
111861806,111861806
126619703,126619703
115357753,115357753
109852742,109852742
109828168,109828168
130248777,130248777
113004618,113004618
110471244,110471244
126720077,126720077
128968783,128968783
123715664,123715664
117360731,117360731
128510048,128510048
115509347,115509347
115535974,115535974
124772458,124772458
110481516,110481516
110495854,110495854
128487535,128487535
117260409,117260409
113395836,113395836
127963265,127963265
115452034,115452034
123197573,123197573
115359879,115359879
123768968,123768968
117930121,117930121
127860871,127860871
128344200,128344200
116555918,116555918
129099918,129099918
125395088,125395088
124313745,124313745
112953495,112953495
123072664,123072664
115536029,115536029
124795038,124795038
111698087,111698087
112980136,112980136
116019373,116019373
121190578,121190578
127273140,127273140
121125047,121125047
120580280,120580280
130955453,130955453
124862657,124862657
115562691,115562691
118440132,118440132
124936390,124936390
117387463,117387463
112246984,112246984
128727241,128727241
124582094,124582094
111620303,111620303
118362321,118362321
127776977,127776977
115468504,115468504
121190619,121190619
117330142,117330142
114131171,114131171
115353830,115353830
116467948,116467948
125434095,125434095
115357936,115357936
120776946,120776946
118352116,118352116
117297399,117297399
123601144,123601144
123629822,123629822
120672511,120672511
117842177,117842177
116025601,116025601
123681037,123681037
128973076,128973076
132167957,132167957
111726870,111726870
127893782,127893782
116732187,116732187
117825832,117825832
125464879,125464879
124236089,124236089
115343674,115343674
117928251,117928251
117416252,117416252
124922175,124922175
110510401,110510401
117266754,117266754
115583299,115583299
125368643,125368643
118528322,118528322
118460742,118460742
110360903,110360903
123572552,123572552
116377929,116377929
126812496,126812496
121899345,121899345
116572513,116572513
110354798,110354798
117508472,117508472
127310201,127310201
109828475,109828475
131410304,131410304
128481668,128481668
120816008,120816008
115466638,115466638
120619407,120619407
115487120,115487120
123146638,123146638
113043854,113043854
127181198,127181198
123097495,123097495
127377820,127377820
112247204,112247204
109306277,109306277
116189605,116189605
112376232,112376232
116068779,116068779
128577969,128577969
125438398,125438398
114166207,114166207
111772097,111772097
117287363,117287363
110578116,110578116
123789765,123789765
126382536,126382536
112880074,112880074
127392202,127392202
109834702,109834702
125065679,125065679
128965077,128965077
110406106,110406106
118362586,118362586
112282078,112282078
116009439,116009439
124252640,124252640
124307935,124307935
116117986,116117986
114033125,114033125
116376038,116376038
124393958,124393958
114147816,114147816
117373418,117373418
128027115,128027115
125364718,125364718
118041074,118041074
121180659,121180659
118409721,118409721
109341181,109341181
113000968,113000968
117484042,117484042
123019786,123019786
124787213,124787213
121164305,121164305
109267474,109267474
112347668,112347668
116439577,116439577
112804380,112804380
116419102,116419102
127810082,127810082
117938723,117938723
120758820,120758820
123193894,123193894
126702119,126702119
121807400,121807400
124338729,124338729
117367338,117367338
117928493,117928493
115368494,115368494
110484015,110484015
117246511,117246511
110567986,110567986
123157044,123157044
116474423,116474423
123660855,123660855
132252217,132252217
116034111,116034111
130734658,130734658
111827523,111827523
110367300,110367300
131111497,131111497
116343370,116343370
117529165,117529165
115563089,115563089
124346961,124346961
117895768,117895768
126747225,126747225
115589722,115589722
117439070,117439070
113404514,113404514
124379747,124379747
114143852,114143852
127179372,127179372
112376431,112376431
111714928,111714928
123595378,123595378
117277300,117277300
123732596,123732596
124412541,124412541
112323200,112323200
124971649,124971649
116114050,116114050
115561090,115561090
124828296,124828296
127197833,127197833
116042380,116042380
111635086,111635086
121838224,121838224
109255323,109255323
117807772,117807772
116624029,116624029
116822686,116822686
117842592,117842592
118536868,118536868
112317093,112317093
121363108,121363108
123695792,123695792
112927409,112927409
110570168,110570168
116087483,116087483
113676988,113676988
111796925,111796925
113398462,113398462
111639237,111639237
110371528,110371528
118557388,118557388
127199949,127199949
128525004,128525004
115473103,115473103
126761679,126761679
121707218,121707218
128352978,128352978
113023700,113023700
121854679,121854679
116107996,116107996
124992221,124992221
117406431,117406431
112339682,112339682
109841138,109841138
115340022,115340022
117299963,117299963
116663040,116663040
125516547,125516547
111735559,111735559
124793608,124793608
124230409,124230409
124334857,124334857
112407307,112407307
110535436,110535436
115411725,115411725
114125583,114125583
124224284,124224284
110572318,110572318
127965988,127965988
126638889,126638889
114045741,114045741
127200045,127200045
127376173,127376173
131426301,131426301
125469491,125469491
113994548,113994548
129479476,129479476
116392758,116392758
116716343,116716343
124363574,124363574
128600887,128600887
123630394,123630394
111758140,111758140
118471486,118471486
123171647,123171647
116577088,116577088
123177798,123177798
118465352,118465352
123806536,123806536
117306186,117306186
127318865,127318865
110381907,110381907
124963671,124963671
113077081,113077081
117259097,117259097
116005724,116005724
115510110,115510110
117394271,117394271
115526496,115526496
129098593,129098593
116083554,116083554
125037411,125037411
116134754,116134754
131441504,131441504
110537574,110537574
121230182,121230182
127374185,127374185
116663145,116663145
123138927,123138927
120845174,120845174
124330874,124330874
121809787,121809787
120707964,120707964
124939135,124939135
115512194,115512194
117275525,117275525
117306247,117306247
127329162,127329162
116726671,116726671
124779407,124779407
117797777,117797777
125451152,125451152
129112977,129112977
116345755,116345755
110476193,110476193
117246889,117246889
109822890,109822890
115995572,115995572
116081588,116081588
111629238,111629238
128988085,128988085
132006837,132006837
127939513,127939513
115528634,115528634
115467200,115467200
128553924,128553924
123657159,123657159
127917003,127917003
123151317,123151317
118428631,118428631
111764450,111764450
123784163,123784163
124359652,124359652
118436845,118436845
127996911,127996911
109847539,109847539
121164787,121164787
116020219,116020219
117791743,117791743
117320704,117320704
128386048,128386048
127288322,127288322
112358404,112358404
110457863,110457863
121754631,121754631
115385356,115385356
112331792,112331792
120710165,120710165
129057813,129057813
117414935,117414935
121771035,121771035
116079645,116079645
116657184,116657184
125623335,125623335
123618344,123618344
111791145,111791145
115575850,115575850
125436977,125436977
118027317,118027317
117425206,117425206
127153205,127153205
106748982,106748982
126819385,126819385
117601338,117601338
124755002,124755002
123147324,123147324
119006271,119006271
112862273,112862273
116055109,116055109
109816902,109816902
111625287,111625287
117404746,117404746
115391562,115391562
112815179,112815179
113396816,113396816
118371410,118371410
113673300,113673300
127290452,127290452
116259926,116259926
121119830,121119830
123182166,123182166
111627353,111627353
125480031,125480031
123112544,123112544
123716705,123716705
117965922,117965922
125490275,125490275
127937631,127937631
109892709,109892709
117820517,117820517
123173996,123173996
117951597,117951597
109290609,109290609
120689777,120689777
111721588,111721588
124275832,124275832
123753595,123753595
131982459,131982459
115405960,115405960
123200650,123200650
114162828,114162828
110455953,110455953
115524760,115524760
127161497,127161497
128973983,128973983
116032673,116032673
125496482,125496482
117474472,117474472
121160873,121160873
118488235,118488235
127210672,127210672
124253363,124253363
124939443,124939443
123116727,123116727
117402808,117402808
123708602,123708602
117255355,117255355
125584575,125584575
115432644,115432644
125351108,125351108
126708937,126708937
116100298,116100298
115340492,115340492
117902546,117902546
113560787,113560787
117982422,117982422
117996759,117996759
116554971,116554971
127802587,127802587
110513375,110513375
111762656,111762656
121277670,121277670
132150502,132150502
120636649,120636649
123700462,123700462
125598958,125598958
131011826,131011826
111645940,111645940
124421364,124421364
118465783,118465783
110482682,110482682
121748733,121748733
121736445,121736445
127907073,127907073
115477762,115477762
111619334,111619334
115496203,115496203
115463439,115463439
109821203,109821203
118492437,118492437
113050902,113050902
117267734,117267734
112799011,112799011
125443369,125443369
110513450,110513450
129054000,129054000
124241209,124241209
124376377,124376377
123198785,123198785
127759682,127759682
121851203,121851203
125373764,125373764
120573253,120573253
121832771,121832771
131525955,131525955
125353296,125353296
130241874,130241874
121314654,121314654
128488799,128488799
127221093,127221093
109868397,109868397
115404142,115404142
124210543,124210543
111711601,111711601
124255603,124255603
124317045,124317045
124419447,124419447
128398713,128398713
124370302,124370302
109823370,109823370
110486926,110486926
127923604,127923604
120616344,120616344
124880282,124880282
109317532,109317532
116266406,116266406
120733096,120733096
130350514,130350514
123233715,123233715
130387384,130387384
117319102,117319102
117245381,117245381
130788806,130788806
115553737,115553737
128560585,128560585
116075980,116075980
110388691,110388691
110353876,110353876
126653912,126653912
127784409,127784409
132060636,132060636
120708577,120708577
110495203,110495203
124417509,124417509
112977382,112977382
125353447,125353447
120630761,120630761
113642989,113642989
125341165,125341165
130893297,130893297
131429877,131429877
124882427,124882427
110460412,110460412
127919612,127919612
115336703,115336703
109323778,109323778
116069891,116069891
118560258,118560258
127784454,127784454
121716238,121716238
115502612,115502612
110571031,110571031
128960029,128960029
116080163,116080163
117440035,117440035
112934437,112934437
109880871,109880871
118464040,118464040
117993001,117993001
111844912,111844912
123264565,123264565
112346681,112346681
125865534,125865534
127211071,127211071
127360574,127360574
120749634,120749634
121849413,121849413
124206661,124206661
116530764,116530764
127786575,127786575
120798818,120798818
109280871,109280871
122644071,122644071
128370283,128370283
115519093,115519093
120673915,120673915
110515836,110515836
117395070,117395070
109848195,109848195
110511749,110511749
128538249,128538249
128384650,128384650
111867534,111867534
110587542,110587542
123199127,123199127
127985304,127985304
121722527,121722527
116080289,116080289
127198882,127198882
117462694,117462694
111095466,111095466
114106030,114106030
114144950,114144950
117370554,117370554
117991109,117991109
124319429,124319429
109840071,109840071
121136839,121136839
109301455,109301455
128478929,128478929
127340246,127340246
121226972,121226972
110491360,110491360
115607268,115607268
113573607,113573607
112815849,112815849
116643563,116643563
114028267,114028267
115558128,115558128
112488190,112488190
110538498,110538498
112236290,112236290
115357443,115357443
116029189,116029189
122652422,122652422
125388547,125388547
130369288,130369288
111832842,111832842
113663757,113663757
118466322,118466322
121927442,121927442
125351698,125351698
113624854,113624854
121863961,121863961
117321498,117321498
112224027,112224027
118495003,118495003
117233434,117233434
124362526,124362526
125359897,125359897
127375137,127375137
126732066,126732066
123651877,123651877
116340519,116340519
110380840,110380840
116010794,116010794
124337965,124337965
123746096,123746096
123828017,123828017
125468468,125468468
50562870,50562870
117524281,117524281
115386172,115386172
127905598,127905598
115527487,115527487
127805251,127805251
114077508,114077508
123184965,123184965
109256518,109256518
127354692,127354692
118374218,118374218
116318030,116318030
109817681,109817681
117364561,117364561
127436631,127436631
115533662,115533662
120715102,120715102
111753056,111753056
123230049,123230049
132241249,132241249
127199077,127199077
110530410,110530410
117817194,117817194
117915499,117915499
125423466,125423466
128595818,128595818
121147247,121147247
130432879,130432879
117438322,117438322
124778354,124778354
126623602,126623602
112383859,112383859
129101686,129101686
110505848,110505848
125519736,125519736
127963007,127963007
112363392,112363392
123582337,123582337
126650246,126650246
127944583,127944583
112873352,112873352
117366669,117366669
118478733,118478733
111638415,111638415
117888918,117888918
121749404,121749404
126074780,126074780
123066271,123066271
112940962,112940962
127236002,127236002
116428706,116428706
124360614,124360614
125366183,125366183
112306093,112306093
110374831,110374831
128415663,128415663
111628211,111628211
128403380,128403380
123144125,123144125
118042560,118042560
130357184,130357184
127911874,127911874
109266883,109266883
123717573,123717573
128374725,128374725
112947144,112947144
124250061,124250061
117860309,117860309
115451876,115451876
116551655,116551655
123588604,123588604
115496957,115496957
